iter	Passed	Remaining
642	20856	11579
643	20895	11551
644	20932	11520
645	20966	11489
646	21001	11458
647	21035	11426
648	21069	11395
649	21104	11363
650	21137	11331
651	21173	11301
652	21209	11270
653	21243	11238
654	21282	11209
655	21316	11178
656	21356	11149
657	21389	11117
658	21425	11086
659	21462	11056
660	21503	11028
661	21544	11000
662	21579	10968
663	21614	10937
664	21645	10904
665	21683	10874
666	21720	10844
667	21756	10812
668	21806	10789
669	21843	10758
670	21882	10729
671	21921	10699
672	21961	10670
673	21993	10637
674	22024	10604
675	22056	10571
676	22085	10537
677	22117	10504
678	22147	10470
679	22179	10437
680	22211	10404
681	22243	10371
682	22274	10338
683	22304	10304
684	22335	10270
685	22366	10237
686	22401	10206
687	22432	10172
688	22464	10139
689	22496	10107
690	22527	10073
691	22562	10042
692	22605	10014
693	22639	9982
694	22673	9950
695	22707	9918
696	22741	9886
697	22775	9853
698	22807	9821
699	22838	9787
700	22871	9755
701	22902	9722
702	22933	9688
703	22965	9655
704	22996	9622
705	23028	9589
706	23060	9556
707	23094	9524
708	23126	9491
709	23159	9459
710	23190	9426
711	23223	9393
712	23256	9361
713	23289	9328
714	23321	9296
715	23363	9267
716	23397	9234
717	23430	9202
718	23462	9169
719	23498	9138
720	23539	9108
721	23576	9077
722	23613	9047
723	23665	9021
724	23715	8995
725	23753	8964
726	23791	8934
727	23830	8903
728	23865	8871
729	23900	8839
730	23935	8807
731	23975	8777
732	24013	8747
733	24051	8716
734	24087	8684
735	24123	8652
736	24158	8620
737	24193	8588
738	24228	8557
739	24261	8524
740	24293	8491
741	24323	8457
742	24358	8425
743	24394	8393
744	24429	8361
745	24464	8329
746	24496	8296
747	24526	8263
748	24565	8232
749	24608	8202
750	24654	8174
751	24703	8147
752	24751	8119
753	24788	8087
754	24820	8054
755	24853	8021
756	24887	7988
757	24920	7956
758	24954	7923
759	24987	7890
760	25021	7858
761	25053	7825
762	25088	7792
763	25123	7760
764	25157	7728
765	25191	7695
766	25226	7663
767	25260	7630
768	25294	7598
769	25328	7565
770	25364	7533
771	25396	7500
772	25431	7468
773	25466	7436
774	25499	7403
775	25533	7370
776	25564	7336
777	25595	7303
778	25627	7270
779	25659	7237
780	25695	7205
781	25731	7173
782	25764	7140
783	25799	7107
784	25833	7075
785	25867	7042
786	25900	7009
787	25936	6977
788	25970	6945
789	26001	6911
790	26033	6878
791	26065	6845
792	26099	6812
793	26134	6780
794	26170	6748
795	26205	6715
796	26239	6683
797	26274	6650
798	26307	6617
799	26341	6585
800	26375	6552
801	26408	6519
802	26442	6487
803	26475	6454
804	26508	6421
805	26542	6388
806	26577	6356
807	26611	6323
808	26646	6291
809	26683	6258
810	26720	6227
811	26758	6195
812	26792	6162
813	26825	6129
814	26860	6097
815	26895	6064
816	26929	6032
817	26966	5999
818	27002	5967
819	27036	5934
820	27069	5901
821	27104	5869
822	27145	5838
823	27182	5805
824	27216	5773
825	27249	5740
826	27284	5707
827	27319	5675
828	27358	5643
829	27393	5610
830	27428	5578
831	27462	5545
832	27501	5513
833	27538	5481
834	27571	5448
835	27603	5415
836	27637	5382
837	27674	5350
838	27711	5317
839	27743	5284
840	27778	5251
841	27812	5219
842	27846	5186
843	27881	5153
844	27913	5120
845	27947	5087
846	27979	5054
847	28014	5021
848	28048	4988
849	28079	4955
850	28109	4921
851	28139	4888
852	28170	4854
853	28201	4821
854	28232	4787
855	28263	4754
856	28296	4721
857	28327	4688
858	28358	4654
859	28388	4621
860	28418	4587
861	28451	4554
862	28484	4521
863	28514	4488
864	28548	4455
865	28583	4422
866	28620	4390
867	28658	4358
868	28695	4325
869	28731	4293
870	28764	4260
871	28797	4227
872	28829	4193
873	28861	4160
874	28894	4127
875	28930	4095
876	28964	4062
877	28997	4029
878	29029	3996
879	29061	3962
880	29101	3930
881	29137	3898
882	29174	3865
883	29211	3833
884	29249	3800
885	29286	3768
886	29320	3735
887	29358	3702
888	29403	3671
889	29438	3638
890	29478	3606
891	29514	3573
892	29549	3540
893	29583	3507
894	29616	3474
895	29652	3441
896	29688	3409
897	29724	3376
898	29759	3343
899	29796	3310
900	29830	3277
901	29865	3244
902	29899	3211
903	29939	3179
904	29976	3146
905	30014	3114
906	30050	3081
907	30080	3047
908	30116	3014
909	30152	2982
910	30192	2949
911	30228	2916
912	30267	2884
913	30303	2851
914	30341	2818
915	30378	2785
916	30411	2752
917	30446	2719
918	30483	2686
919	30521	2654
920	30560	2621
921	30597	2588
922	30635	2555
923	30673	2522
924	30708	2489
925	30744	2456
926	30778	2423
927	30810	2390
928	30842	2357
929	30877	2324
930	30915	2291
931	30951	2258
932	30988	2225
933	31028	2192
934	31065	2159
935	31101	2126
936	31139	2093
937	31175	2060
938	31212	2027
939	31247	1994
940	31282	1961
941	31322	1928
942	31362	1895
943	31399	1862
944	31439	1829
945	31479	1796
946	31515	1763
947	31553	1730
948	31595	1697
949	31632	1664
950	31671	1631
951	31711	1598
952	31750	1565
953	31786	1532
954	31820	1499
955	31859	1466
956	31897	1433
957	31931	1399
958	31968	1366
959	32000	1333
960	32031	1299
961	32064	1266
962	32097	1233
963	32130	1199
964	32167	1166
965	32204	1133
966	32239	1100
967	32278	1067
968	32314	1033
969	32353	1000
970	32390	967
971	32428	934
972	32466	900
973	32507	867
974	32545	834
975	32577	801
976	32612	767
977	32648	734
978	32689	701
979	32728	667
980	32764	634
981	32800	601
982	32839	567
983	32879	534
984	32912	501
985	32947	467
986	33008	434
987	33052	401
988	33092	368
989	33126	334
990	33162	301
991	33199	267
992	33239	234
993	33273	200
994	33306	167
995	33342	133
996	33379	100
997	33413	66
998	33450	33
999	33485	0
